Chokepoint · баланс · 6 забігів, стеля хвиля 22

══ ФІКСОВАНИЙ ШЛЯХ ══
                    хвиля min  сер.   макс   загиб   життів 
──────────────────  ─────────  ─────  ─────  ──────  ───────
Вузол               22         22     22     1       6.2    
Двійка              22         22     22     5       0.3    
Гребінь             18         18     18     6       0      
Спіраль             22         22     22     2       3.7    
Коса                16         16.8   17     6       0      
Стріла              17         17.5   19     6       0      
Обруч               22         22     22     0       9.7    
Ребро               21         21.2   22     6       0      

══ ЛАБІРИНТ ══
                    хвиля min  сер.   макс   загиб   життів 
──────────────────  ─────────  ─────  ─────  ──────  ───────
Вузол               22         22     22     0       18.8   
Двійка              22         22     22     0       19.7   
Гребінь             22         22     22     0       16.8   
Спіраль             22         22     22     0       20     
Коса                22         22     22     0       17.5   
Стріла              22         22     22     0       19.2   
Обруч               22         22     22     0       15.7   
Ребро               22         22     22     0       19.2   

══ КОМБІНАЦІЇ · ФІКСОВАНИЙ ШЛЯХ ══
                    хвиля min  сер.   макс   загиб   життів 
──────────────────  ─────────  ─────  ─────  ──────  ───────
  Вузол             17         17.8   19     6       -0.2   
  Двійка            17         17.3   19     6       0      
  Гребінь           13         13.8   14     6       0      
  Спіраль           14         14.5   15     6       -0.7   
  Коса              12         12     12     6       0      
  Стріла            13         13.8   14     6       0      
  Обруч             20         20.8   21     6       -0.3   
  Ребро             16         16.2   17     6       0      
Сталь + Крига       12         15.8   21     48      -0.1   
  Вузол             19         21.2   22     6       0      
  Двійка            17         17.2   18     6       0      
  Гребінь           16         16.7   17     6       0      
  Спіраль           21         21.5   22     6       0      
  Коса              13         13.7   14     6       0      
  Стріла            16         16     16     6       0      
  Обруч             18         18.3   19     6       0      
  Ребро             17         17     17     6       0      
Сталь + Отрута      13         17.7   22     48      0      
  Вузол             19         19.8   21     6       -0.2   
  Двійка            17         17.3   19     6       0      
  Гребінь           13         13     13     6       0      
  Спіраль           13         14.2   17     6       0      
  Коса              9          9.8    11     6       -0.3   
  Стріла            11         12     13     6       0      
  Обруч             19         19.5   21     6       0      
  Ребро             14         14.5   16     6       -0.2   
Вогонь + Крига      9          15     21     48      -0.1   
  Вузол             19         20.2   22     6       0      
  Двійка            15         16.2   17     6       -0.2   
  Гребінь           13         13.8   14     6       0      
  Спіраль           14         14.2   15     6       0      
  Коса              12         13.3   14     6       0      
  Стріла            14         14     14     6       0      
  Обруч             17         19.3   22     6       -0.7   
  Ребро             14         14     14     6       0      
Вогонь + Отрута     12         15.6   22     48      -0.1   

══ КОМБІНАЦІЇ · ЛАБІРИНТ ══
                    хвиля min  сер.   макс   загиб   життів 
──────────────────  ─────────  ─────  ─────  ──────  ───────
  Вузол             22         22     22     0       20     
  Двійка            13         13.8   14     6       0      
  Гребінь           22         22     22     0       9.7    
  Спіраль           11         11.5   13     6       0      
  Коса              20         21.7   22     6       -0.3   
  Стріла            17         19.5   22     4       6.2    
  Обруч             17         17.2   18     6       0      
  Ребро             22         22     22     1       5.5    
Сталь + Крига       11         18.7   22     29      5.1    
  Вузол             22         22     22     0       18.5   
  Двійка            14         14.3   16     6       0      
  Гребінь           22         22     22     0       6.5    
  Спіраль           12         12     12     6       0      
  Коса              22         22     22     0       13.8   
  Стріла            17         20     22     3       4      
  Обруч             22         22     22     0       16.5   
  Ребро             19         20.2   22     5       2.3    
Сталь + Отрута      12         19.3   22     20      7.7    
  Вузол             22         22     22     0       20     
  Двійка            22         22     22     0       18.5   
  Гребінь           22         22     22     0       20     
  Спіраль           17         19.5   22     3       8.3    
  Коса              22         22     22     0       19.7   
  Стріла            22         22     22     0       19.3   
  Обруч             22         22     22     0       20     
  Ребро             22         22     22     0       19.5   
Вогонь + Крига      17         21.7   22     3       18.2   
  Вузол             22         22     22     0       18.8   
  Двійка            22         22     22     0       20     
  Гребінь           22         22     22     0       20     
  Спіраль           22         22     22     0       17.2   
  Коса              22         22     22     0       11.5   
  Стріла            22         22     22     0       20     
  Обруч             22         22     22     0       20     
  Ребро             22         22     22     0       20     
Вогонь + Отрута     22         22     22     0       18.4   
