Наскільки далі заходить гра З допоміжною фракцією

5 забігів на клітину, добра гра, фіксований шлях.

комбінація         мапа      без доп.  з доп.   приріст  веж доп. 
────────────────── ───────── ───────── ──────── ──────── ─────────
Сталь + Крига      Вузол     21        24.4     +3.4     8.2      
Сталь + Крига      Двійка    21.2      24       +2.8     10.0     
Сталь + Крига      Гребінь   16.6      21.2     +4.6     14.2     

Сталь + Отрута     Вузол     21        24       +3.0     8.8      
Сталь + Отрута     Двійка    21.2      24       +2.8     10.0     
Сталь + Отрута     Гребінь   16.6      21.6     +5.0     15.0     

Вогонь + Крига     Вузол     23.8      29       +5.2     15.0     
Вогонь + Крига     Двійка    21.4      26.4     +5.0     15.2     
Вогонь + Крига     Гребінь   17        22.8     +5.8     16.8     

Вогонь + Отрута    Вузол     23.8      27.6     +3.8     11.0     
Вогонь + Отрута    Двійка    21.4      24.4     +3.0     11.0     
Вогонь + Отрута    Гребінь   17        23.4     +6.4     15.0     

